Iteration	AverageReturn	StdReturn
0	1239.4247571404624	255.73607769223293
1	1141.3620781653274	150.42194582986198
2	1103.3483199052835	222.4848478415363
3	1114.5900359236693	232.98879102658682
4	1081.5415425681185	207.8939732604388
5	1048.0874338814658	186.22993706432337
6	1084.0959418894604	191.16946423359124
7	1181.6746967316553	194.28249015731978
8	1106.2568203095757	226.77260606467107
9	1080.9926481501363	204.7081974787332
10	1112.740058039253	211.86214154384834
11	1152.287477192789	191.1519941667919
12	1078.9135513040787	195.44178622597522
13	1118.8427928000676	219.5493474312985
14	1156.1668071419874	221.92665472146578
15	1056.7432065709618	180.6065827407172
16	1150.2776398525716	219.84064623116225
17	1145.2493079190801	170.3591857735348
18	1056.5242899382574	182.63546204284006
19	1112.566270007601	207.92818110379653
